,Zone,Code with States/ UTs Name,Total Households,Number of Households with Salaried Job,% of Households with Salaried Job,Number of Households with Salaried Job (Out of Coln 4) Government Sector,Number of Households with Salaried Job (Out of Coln 4) % Government  Sector,Number of Households with Salaried Job (Out of Coln 4) Public Sector,Number of Households with Salaried Job (Out of Coln 4) % Public Sector,Number of Households with Salaried Job (Out of Coln 4) Private Sector,Number of Households with Salaried Job (Out of Coln 4) % Private Sector,Number of Households Pay Income Tax or Professional Tax,Number of Households Own/Operate an Enterprise registered with the Government,"Number of Households having Monthly income of highest earning household member Less than Rs. 5,000","Number of Households having Monthly income of highest earning household member % Less than Rs. 5,000","Number of Households having Monthly income of highest earning household member Between Rs. 5,000 and Rs 10,000","Number of Households having Monthly income of highest earning household member % Between Rs. 5,000 and Rs 10,000","Number of Households having Monthly income of highest earning household member Rs. 10,000 or more","Number of Households having Monthly income of highest earning household member % Rs. 10,000 or more"
31,North Eastern,14 - MANIPUR,448163,85610,19.10%,68038,15.18%,3150,0.70%,14428,3.22%,35307,7907,290868,64.90%,90333,20.16%,66952,14.94%
32,North Eastern,15 - MIZORAM,111626,17770,15.92%,11057,9.91%,1106,0.99%,5646,5.06%,11062,3774,85974,77.02%,14777,13.24%,10875,9.74%
33,North Eastern,16 - TRIPURA,697062,86650,12.43%,79370,11.39%,3855,0.55%,3451,0.50%,59636,47948,556625,79.85%,83715,12.01%,56227,8.07%
34,North Eastern,17 - MEGHALAYA,485897,61870,12.73%,43677,8.99%,4583,0.94%,13832,2.85%,31071,10943,363652,74.84%,77847,16.02%,44393,9.14%
35,North Eastern,18 - ASSAM,5743835,704739,12.27%,436879,7.61%,50485,0.88%,218711,3.81%,408746,184761,4416524,76.89%,834420,14.53%,492736,8.58%
36,UT Total,,1338560,791604,59.14%,137225,10.25%,93946,7.02%,560573,41.88%,216570,223027,480016,35.86%,507298,37.90%,351244,26.24%
37,UT,04 - CHANDIGARH,15657,9445,60.32%,1994,12.74%,312,1.99%,7139,45.60%,1779,1182,7046,45.00%,5119,32.69%,3492,22.30%
38,UT,07 - NCT OF DELHI,1051097,663600,63.13%,98213,9.34%,86466,8.23%,478921,45.56%,186173,205428,307524,29.26%,443975,42.24%,299598,28.50%
39,UT,25 - DAMAN AND DIU,31795,21987,69.15%,878,2.76%,1362,4.28%,19747,62.11%,1641,3292,14491,45.58%,11461,36.05%,5842,18.37%
40,UT,26 - DADRA & NAGAR HAVELI,45352,21618,47.67%,1774,3.91%,1149,2.53%,18695,41.22%,2432,5093,31371,69.17%,9792,21.59%,4189,9.24%
41,UT,31 - LAKSHADWEEP,10929,4907,44.90%,4495,41.13%,129,1.18%,286,2.62%,2172,336,4713,43.12%,1496,13.69%,4720,43.19%
42,UT,34 - PUDUCHERRY,115249,38527,33.43%,10852,9.42%,3593,3.12%,24182,20.98%,6705,4327,80135,69.53%,20978,18.20%,14135,12.26%
43,UT,35 - ANDAMAN & NICOBAR ISLANDS,68481,31520,46.03%,19019,27.77%,935,1.37%,11603,16.94%,15668,3369,34736,50.72%,14477,21.14%,19268,28.14%
