,Zone,Code with States/ UTs Name,Total Households,Total Land,Number of Households Own any Land Number of Households with Land,Number of Households Own any Land % of Households with Land,Number of Households Own any Land Number of Households with No Land,Number of Households Own any Land % of Households with No Land,Total Un-irrigated land in acres,% Total Un-irrigated land in acres,With assured irrigation for two crops (in acres),% With assured irrigation for two crops (in acres),Other irrigated land (in acres),% Other irrigated land (in acres),Number of Households owning Mechanized Three/Four Wheeler Agricultural equipment,% of Households owning Mechanized Three/Four Wheeler Agricultural equipment,"Number of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","% of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","Number of Households having Kisan Credit Card with credit limit of Rs 50,000 or above","% of Households having Kisan Credit Card with credit limit of Rs 50,000 or above"
19,South,32 - KERALA,6319215,17873735.54,1737963,27.50%,4581149,72.50%,8358629.32,46.76%,6601015.56,36.93%,2914148.66,16.30%,22779,0.36%,273534,4.33%,39385,0.62%
20,South,33 - TAMILNADU,10088119,79713370.84,2681857,26.58%,7405370,73.41%,11655475.08,14.62%,21732354.04,27.26%,46325541.72,58.12%,829544,8.22%,1098780,10.89%,187029,1.85%
21,South,28 - TELANGANA,5643739,27490673.19,2396245,42.46%,3247346,57.54%,8359018.46,30.41%,9989961.93,36.34%,9146747.79,33.27%,171264,3.03%,734952,13.02%,90134,1.60%
22,Central Total,,43325279,131151553.98,22735210,52.48%,20588684,47.52%,42711554.85,32.57%,62876752.75,47.94%,25565605.81,19.49%,2229898,5.15%,6276443,14.49%,2852142,6.58%
23,Central,05 - UTTARAKHAND,1479742,5814552.16,838974,56.70%,640768,43.30%,3174017.92,54.59%,1814331.44,31.20%,826202.8,14.21%,54261,3.67%,87594,5.92%,59135,4.00%
24,Central,09 - UTTAR PRADESH,26015592,75704809.84,14365324,55.22%,11649175,44.78%,16192140.36,21.39%,43837940.7,57.91%,15677088.21,20.71%,1652491,6.35%,4308372,16.56%,1939619,7.46%
25,Central,22 - CHHATTISGARH,4540999,8269551.42,2418891,53.27%,2121828,46.73%,5684599.93,68.74%,1041438.84,12.59%,1543512.65,18.67%,52991,1.17%,161659,3.56%,99072,2.18%
26,Central,23 - MADHYA PRADESH,11288946,41362640.56,5112021,45.28%,6176913,54.72%,17660796.64,42.70%,16183041.77,39.12%,7518802.15,18.18%,470155,4.16%,1718818,15.23%,754316,6.68%
27,North Eastern Total,,8061458,116958378.27,3312635,41.09%,4748710,58.91%,70295845.73,60.10%,26824664.81,22.94%,19837883.57,16.96%,111149,1.38%,249098,3.09%,73684,0.91%
28,North Eastern,11 - SIKKIM,88723,602512.35,53399,60.19%,35324,39.81%,313541.28,52.04%,58127.62,9.65%,230843.45,38.31%,470,0.53%,647,0.73%,1080,1.22%
29,North Eastern,12 - ARUNACHAL PRADESH,201842,960603.34,112795,55.88%,89047,44.12%,596548.13,62.10%,180778.24,18.82%,183287.47,19.08%,1471,0.73%,1531,0.76%,1014,0.50%
30,North Eastern,13 - NAGALAND,284310,8808340.09,163184,57.40%,121121,42.60%,3748809.79,42.56%,2374278.79,26.95%,2685251.51,30.49%,1262,0.44%,2811,0.99%,1142,0.40%
31,North Eastern,14 - MANIPUR,448163,664548.94,134352,29.98%,313811,70.02%,460817.26,69.34%,71026.14,10.69%,132705.53,19.97%,4213,0.94%,5555,1.24%,3945,0.88%
32,North Eastern,15 - MIZORAM,111626,284316.8,22869,20.49%,88757,79.51%,203862.86,71.70%,42067.12,14.80%,38386.82,13.50%,812,0.73%,1265,1.13%,1255,1.12%
33,North Eastern,16 - TRIPURA,697062,133668.33,220596,31.65%,476393,68.34%,62785.69,46.97%,40072.64,29.98%,30810.01,23.05%,12056,1.73%,17595,2.52%,5358,0.77%
34,North Eastern,17 - MEGHALAYA,485897,5554905.06,116723,24.02%,369174,75.98%,2406632.14,43.32%,1723341.87,31.02%,1424931.06,25.65%,2607,0.54%,5994,1.23%,4917,1.01%
35,North Eastern,18 - ASSAM,5743835,99949483.36,2488717,43.33%,3255083,56.67%,62502848.58,62.53%,22334972.39,22.35%,15111667.72,15.12%,88258,1.54%,213700,3.72%,54973,0.96%
36,UT Total,,1338560,1208989.38,113689,8.49%,1224870,91.51%,680348.5,56.27%,311758.53,25.79%,216882.36,17.94%,53417,3.99%,99376,7.42%,43136,3.22%
37,UT,04 - CHANDIGARH,15657,2291.51,362,2.31%,15295,97.69%,697.55,30.44%,1026.46,44.79%,567.5,24.77%,310,1.98%,466,2.98%,50,0.32%
38,UT,07 - NCT OF DELHI,1051097,768837.98,68945,6.56%,982152,93.44%,364153.15,47.36%,230978.41,30.04%,173706.42,22.59%,48760,4.64%,89674,8.53%,39010,3.71%
39,UT,25 - DAMAN AND DIU,31795,77785.76,2638,8.30%,29156,91.70%,60085.99,77.25%,4781.7,6.15%,12918.08,16.61%,1987,6.25%,3183,10.01%,1762,5.54%
40,UT,26 - DADRA & NAGAR HAVELI,45352,48146.05,19038,41.98%,26314,58.02%,27490.53,57.10%,8733.84,18.14%,11921.68,24.76%,465,1.03%,1225,2.70%,158,0.35%
41,UT,31 - LAKSHADWEEP,10929,2217.76,3420,31.29%,7509,68.71%,1955.17,88.16%,85.04,3.83%,177.55,8.01%,77,0.70%,963,8.81%,26,0.24%
42,UT,34 - PUDUCHERRY,115249,30645.01,6016,5.22%,109233,94.78%,13517.36,44.11%,12800.73,41.77%,4326.92,14.12%,1113,0.97%,2752,2.39%,1381,1.20%
43,UT,35 - ANDAMAN & NICOBAR ISLANDS,68481,279065.31,13270,19.38%,55211,80.62%,212448.75,76.13%,53352.35,19.12%,13264.21,4.75%,705,1.03%,1113,1.63%,749,1.09%
