,Zone,Code with States/ UTs Name,Total Households,No. of Excluded Households with exclusion criteria Households owning motorized two/three/four wheelers/fishing boats,No. of Excluded Households with exclusion criteria Households owning mechanized three/four wheeler agricultural equipments,"No. of Excluded Households with exclusion criteria Households having kisan credit card with the credit limit of Rs.50,000 and above",No. of Excluded Households with exclusion criteria Households with any member as government employee,No. of Excluded Households with exclusion criteria Households with non-agricultural enterprises registered with government,"No. of Excluded Households with exclusion criteria Households with any member earning more than Rs. 10,000 p.m ",No. of Excluded Households with exclusion criteria Households paying income tax,No. of Excluded Households with exclusion criteria Households paying professional tax ,No. of Excluded Households with exclusion criteria Households with three or more rooms with pucca walls and pucca roof,No. of Excluded Households with exclusion criteria Households owning refrigerator,No. of Excluded Households with exclusion criteria Households owning landline phones,No. of Excluded Households with exclusion criteria Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,No. of Excluded Households with exclusion criteria Household owning 5 acres or more land irrigated for two or more crop seasons,No. of Excluded Households with exclusion criteria Households owning 7.5 acres or more land with at least one irrigation equipment,% of Excluded Households with exclusion criteria Households owning motorized two/three/four wheelers/fishing boats,% of Excluded Households with exclusion criteria Households owning mechanized three/four wheeler agricultural equipments,"% of Excluded Households with exclusion criteria Households having kisan credit card with the credit limit of Rs.50,000 and above",% of Excluded Households with exclusion criteria Households with any member as government employee,% of Excluded Households with exclusion criteria Households with non-agricultural enterprises registered with government,"% of Excluded Households with exclusion criteria Households with any member earning more than Rs. 10,000 p.m ",% of Excluded Households with exclusion criteria Households paying income tax,% of Excluded Households with exclusion criteria Households paying professional tax ,% of Excluded Households with exclusion criteria Households with three or more rooms with pucca walls and pucca roof,% of Excluded Households with exclusion criteria Households owning refrigerator,% of Excluded Households with exclusion criteria Households owning landline phones,% of Excluded Households with exclusion criteria Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,% of Excluded Households with exclusion criteria Household owning 5 acres or more land irrigated for two or more crop seasons,% of Excluded Households with exclusion criteria Households owning 7.5 acres or more land with at least one irrigation equipment,Atleast One Exclusion
16,South Total,,39443917,10589436,1782364,647277,1544077,1002611,2835724,2176122,2176122,9152056,5485361,3385448,1078640,647465,603108,26.85%,4.52%,1.64%,3.91%,2.54%,7.19%,5.52%,5.52%,23.20%,13.91%,8.58%,2.73%,1.64%,1.53%,19807539
17,South,28 - ANDHRA PRADESH,9344180,1813568,155573,120918,180283,227271,436383,271742,271742,1559158,571249,331667,150324,113173,79761,19.41%,1.66%,1.29%,1.93%,2.43%,4.67%,2.91%,2.91%,16.69%,6.11%,3.55%,1.61%,1.21%,0.85%,3595077
18,South,29 - KARNATAKA,8048664,1911482,603204,209811,309991,283793,694617,736867,736867,1412541,478862,494050,349175,279928,257831,23.75%,7.49%,2.61%,3.85%,3.53%,8.63%,9.16%,9.16%,17.55%,5.95%,6.14%,4.34%,3.48%,3.20%,4022702
19,South,32 - KERALA,6319215,1928034,22779,39385,437903,137821,774163,413815,413815,2976894,2619164,2012717,19644,23638,10267,30.51%,0.36%,0.62%,6.93%,2.18%,12.25%,6.55%,6.55%,47.11%,41.45%,31.85%,0.31%,0.37%,0.16%,4388457
20,South,33 - TAMILNADU,10088119,3228825,829544,187029,461512,157297,603035,404306,404306,1308134,1222197,373225,363409,105746,154552,32.01%,8.22%,1.85%,4.57%,1.56%,5.98%,4.01%,4.01%,12.97%,12.12%,3.70%,3.60%,1.05%,1.53%,4657981
21,South,28 - TELANGANA,5643739,1707527,171264,90134,154388,196429,327526,349392,349392,1895329,593889,173789,196088,124980,100697,30.26%,3.03%,1.60%,2.74%,3.48%,5.80%,6.19%,6.19%,33.58%,10.52%,3.08%,3.47%,2.21%,1.78%,3143322
22,Central Total,,43325279,9399653,2229898,2852142,1829892,885600,3088903,1172431,1172431,9066220,3171125,689124,2901823,1911438,1311283,21.70%,5.15%,6.58%,4.22%,2.04%,7.13%,2.71%,2.71%,20.93%,7.32%,1.59%,6.70%,4.41%,3.03%,17411467
23,Central,05 - UTTARAKHAND,1479742,344556,54261,59135,184079,75829,217848,110323,110323,516679,340968,37377,40080,48174,26152,23.28%,3.67%,4.00%,12.44%,5.12%,14.72%,7.46%,7.46%,34.92%,23.04%,2.53%,2.71%,3.26%,1.77%,823330
24,Central,09 - UTTAR PRADESH,26015592,6681978,1652491,1939619,1043630,691223,2136161,756362,756362,7204135,2225418,480424,1733099,1147052,621228,25.68%,6.35%,7.46%,4.01%,2.66%,8.21%,2.91%,2.91%,27.69%,8.55%,1.85%,6.66%,4.41%,2.39%,12466832
25,Central,22 - CHHATTISGARH,4540999,493940,52991,99072,198268,25984,145294,81909,81909,279212,149420,30415,71674,40120,51298,10.88%,1.17%,2.18%,4.37%,0.57%,3.20%,1.80%,1.80%,6.15%,3.29%,0.67%,1.58%,0.88%,1.13%,819609
26,Central,23 - MADHYA PRADESH,11288946,1879179,470155,754316,403915,92564,589600,223837,223837,1066194,455319,140908,1056970,676092,612605,16.65%,4.16%,6.68%,3.58%,0.82%,5.22%,1.98%,1.98%,9.44%,4.03%,1.25%,9.36%,5.99%,5.43%,3301696
27,North Eastern Total,,8061458,1057544,111149,73684,740563,271708,754969,604793,604793,1017381,484366,126497,50325,114984,31417,13.12%,1.38%,0.91%,9.19%,3.37%,9.37%,7.50%,7.50%,12.62%,6.01%,1.57%,0.62%,1.43%,0.39%,2453476
28,North Eastern,11 - SIKKIM,88723,7935,470,1080,18261,4805,12400,13531,13531,19882,9762,810,50,706,33,8.94%,0.53%,1.22%,20.58%,5.42%,13.98%,15.25%,15.25%,22.41%,11.00%,0.91%,0.06%,0.80%,0.04%,39442
29,North Eastern,12 - ARUNACHAL PRADESH,201842,88792,1471,1014,31905,5822,27889,8888,8888,9059,14328,12024,312,3246,259,43.99%,0.73%,0.50%,15.81%,2.88%,13.82%,4.40%,4.40%,4.49%,7.10%,5.96%,0.15%,1.61%,0.13%,118987
30,North Eastern,13 - NAGALAND,284310,36449,1262,1142,52439,5748,43495,36550,36550,26471,28339,2965,1067,6001,855,12.82%,0.44%,0.40%,18.44%,2.02%,15.30%,12.86%,12.86%,9.31%,9.97%,1.04%,0.38%,2.11%,0.30%,97323
31,North Eastern,14 - MANIPUR,448163,81799,4213,3945,68037,7907,66954,35309,35309,26939,35654,4130,636,1043,253,18.25%,0.94%,0.88%,15.18%,1.76%,14.94%,7.88%,7.88%,6.01%,7.96%,0.92%,0.14%,0.23%,0.06%,147003
32,North Eastern,15 - MIZORAM,111626,15681,812,1255,11038,3774,10875,11062,11062,16455,23402,2641,123,1179,100,14.05%,0.73%,1.12%,9.89%,3.38%,9.74%,9.91%,9.91%,14.74%,20.96%,2.37%,0.11%,1.06%,0.09%,44437
33,North Eastern,16 - TRIPURA,697062,56362,12056,5358,79353,47948,56227,59636,59636,20086,46258,17053,440,778,324,8.09%,1.73%,0.77%,11.38%,6.88%,8.07%,8.56%,8.56%,2.88%,6.64%,2.45%,0.06%,0.11%,0.05%,165435
34,North Eastern,17 - MEGHALAYA,485897,60923,2607,4917,43505,10943,44393,31071,31071,81030,21419,5891,1168,3623,725,12.54%,0.54%,1.01%,8.95%,2.25%,9.14%,6.39%,6.39%,16.68%,4.41%,1.21%,0.24%,0.75%,0.15%,151711
35,North Eastern,18 - ASSAM,5743835,709603,88258,54973,436025,184761,492736,408746,408746,817459,305204,80983,46529,98408,28868,12.35%,1.54%,0.96%,7.59%,3.22%,8.58%,7.12%,7.12%,14.23%,5.31%,1.41%,0.81%,1.71%,0.50%,1689138
36,UT Total,,1338560,631236,53417,43136,137110,223027,351244,216570,216570,453635,780191,101825,15904,13324,7875,47.16%,3.99%,3.22%,10.24%,16.66%,26.24%,16.18%,16.18%,33.89%,58.29%,7.61%,1.19%,1.00%,0.59%,1038022
37,UT,04 - CHANDIGARH,15657,5796,310,50,1994,1182,3492,1779,1779,2783,7373,586,116,60,56,37.02%,1.98%,0.32%,12.74%,7.55%,22.30%,11.36%,11.36%,17.77%,47.09%,3.74%,0.74%,0.38%,0.36%,9250
38,UT,07 - NCT OF DELHI,1051097,531213,48760,39010,98213,205428,299598,186173,186173,409085,692751,84948,14445,11796,7027,50.54%,4.64%,3.71%,9.34%,19.54%,28.50%,17.71%,17.71%,38.92%,65.91%,8.08%,1.37%,1.12%,0.67%,881667
39,UT,25 - DAMAN AND DIU,31795,9769,1987,1762,878,3292,5842,1641,1641,3954,8778,1343,120,117,86,30.72%,6.25%,5.54%,2.76%,10.35%,18.37%,5.16%,5.16%,12.44%,27.61%,4.22%,0.38%,0.37%,0.27%,16707
40,UT,26 - DADRA & NAGAR HAVELI,45352,9250,465,158,1774,5093,4189,2432,2432,3369,5562,1118,140,119,71,20.40%,1.03%,0.35%,3.91%,11.23%,9.24%,5.36%,5.36%,7.43%,12.26%,2.47%,0.31%,0.26%,0.16%,15780
41,UT,31 - LAKSHADWEEP,10929,4142,77,26,4492,336,4720,2172,2172,5307,7441,3767,1,2,0,37.90%,0.70%,0.24%,41.10%,3.07%,43.19%,19.87%,19.87%,48.56%,68.08%,34.47%,0.01%,0.02%,0.00%,9410
42,UT,34 - PUDUCHERRY,115249,52417,1113,1381,10754,4327,14135,6705,6705,15728,36576,6239,808,590,504,45.48%,0.97%,1.20%,9.33%,3.75%,12.26%,5.82%,5.82%,13.65%,31.74%,5.41%,0.70%,0.51%,0.44%,65854
43,UT,35 - ANDAMAN & NICOBAR ISLANDS,68481,18649,705,749,19005,3369,19268,15668,15668,13409,21710,3824,274,640,131,27.23%,1.03%,1.09%,27.75%,4.92%,28.14%,22.88%,22.88%,19.58%,31.70%,5.58%,0.40%,0.93%,0.19%,39354
