,Zone,Code with States/ UTs Name,Total Households,1 = Cultivation,% 1 = Cultivation,2=Manual Casual Labour,% 2=Manual Casual Labour,3=Part-time or Full-Time Domestic Service,% 3=Part-time or Full-Time Domestic Service,4=Foraging Rag Picking,% 4=Foraging Rag Picking,5=Non-agricultural Own Account Enterprise,% 5=Non-agricultural Own Account Enterprise,6=Begging/Charity/ Alms collection,% 6=Begging/Charity/ Alms collection,7=Others,% 7=Others
26,Central,23 - MADHYA PRADESH,11288946,3928720,34.80%,6398603,56.68%,183197,1.62%,18962,0.17%,45686,0.40%,58649,0.52%,655051,5.80%
27,North Eastern Total,,8061458,2670137,33.12%,3142125,38.98%,390101,4.84%,14474,0.18%,126027,1.56%,45391,0.56%,1672433,20.75%
28,North Eastern,11 - SIKKIM,88723,40309,45.43%,17545,19.78%,3863,4.35%,37,0.04%,2987,3.37%,71,0.08%,23782,26.80%
29,North Eastern,12 - ARUNACHAL PRADESH,201842,136600,67.68%,20167,9.99%,4730,2.34%,129,0.06%,2545,1.26%,249,0.12%,37419,18.54%
30,North Eastern,13 - NAGALAND,284310,177218,62.33%,23961,8.43%,7797,2.74%,49,0.02%,4172,1.47%,528,0.19%,70580,24.83%
31,North Eastern,14 - MANIPUR,448163,213762,47.70%,92116,20.55%,26212,5.85%,168,0.04%,3448,0.77%,223,0.05%,112224,25.04%
32,North Eastern,15 - MIZORAM,111626,82241,73.68%,10096,9.04%,2029,1.82%,233,0.21%,822,0.74%,83,0.07%,16122,14.44%
33,North Eastern,16 - TRIPURA,697062,159685,22.91%,333360,47.82%,40210,5.77%,1322,0.19%,15712,2.25%,2888,0.41%,143390,20.57%
34,North Eastern,17 - MEGHALAYA,485897,184056,37.88%,198971,40.95%,15007,3.09%,420,0.09%,7445,1.53%,1054,0.22%,78939,16.25%
35,North Eastern,18 - ASSAM,5743835,1676266,29.18%,2445909,42.58%,290253,5.05%,12116,0.21%,88896,1.55%,40295,0.70%,1189977,20.72%
36,UT Total,,1338560,164259,12.27%,223907,16.73%,176282,13.17%,6608,0.49%,17780,1.33%,5117,0.38%,744605,55.63%
37,UT,04 - CHANDIGARH,15657,211,1.35%,2707,17.29%,1043,6.66%,54,0.34%,452,2.89%,17,0.11%,11173,71.36%
38,UT,07 - NCT OF DELHI,1051097,115088,10.95%,140568,13.37%,157131,14.95%,5840,0.56%,13705,1.30%,4358,0.41%,614407,58.45%
39,UT,25 - DAMAN AND DIU,31795,1373,4.32%,5850,18.40%,1009,3.17%,184,0.58%,196,0.62%,139,0.44%,23043,72.47%
40,UT,26 - DADRA & NAGAR HAVELI,45352,15854,34.96%,12755,28.12%,4964,10.95%,131,0.29%,792,1.75%,98,0.22%,10758,23.72%
41,UT,31 - LAKSHADWEEP,10929,450,4.12%,2108,19.29%,1248,11.42%,3,0.03%,17,0.16%,11,0.10%,7092,64.89%
42,UT,34 - PUDUCHERRY,115249,18403,15.97%,46711,40.53%,8109,7.04%,373,0.32%,1596,1.38%,434,0.38%,39622,34.38%
43,UT,35 - ANDAMAN & NICOBAR ISLANDS,68481,12880,18.81%,13208,19.29%,2778,4.06%,23,0.03%,1022,1.49%,60,0.09%,38510,56.23%
